Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,Segment
1,131,0,1,3.73,4,292.9,101,104.3,9.99,13.8,Low Value/Low Interaction Users
0,53,1,1,3.54,3,145.7,146,79.4,11.03,13.1,Low Value/Low Interaction Users
0,66,1,1,3.27,1,106.7,76,68.7,10.49,12.1,Low Value/Low Interaction Users
0,82,1,1,2.89,1,155.2,131,76.9,12.23,10.7,Low Value/Low Interaction Users
0,86,1,1,3.29,1,167.6,139,71.9,5.65,12.2,Low Value/Low Interaction Users
0,127,1,1,2.75,1,166.0,114,71.5,8.73,10.2,Low Value/Low Interaction Users
0,126,1,1,2.59,2,186.2,78,73.9,9.48,9.6,Low Value/Low Interaction Users
0,104,1,1,3.59,4,280.2,136,102.9,11.03,13.3,Low Value/Low Interaction Users
0,45,1,1,3.21,0,196.6,84,93.1,15.66,11.9,Low Value/Low Interaction Users
0,63,0,1,2.97,1,199.0,110,88.7,14.57,11.0,Low Value/Low Interaction Users
0,110,1,1,2.43,2,202.6,103,69.3,5.94,9.0,Low Value/Low Interaction Users
0,119,1,1,3.19,2,154.0,114,81.9,13.9,11.8,Low Value/Low Interaction Users
1,33,1,1,3.75,4,157.4,99,74.5,5.9,13.9,Low Value/Low Interaction Users
0,86,1,1,2.57,0,119.0,101,65.7,11.5,9.5,Low Value/Low Interaction Users
0,106,1,1,3.81,4,165.9,126,85.1,10.83,14.1,Low Value/Low Interaction Users
0,24,1,1,1.81,1,164.9,110,64.1,10.47,6.7,Low Value/Low Interaction Users
0,114,1,1,3.08,1,206.2,79,88.8,13.0,11.4,Low Value/Low Interaction Users
0,114,1,1,2.27,4,225.8,94,77.7,9.65,8.4,Low Value/Low Interaction Users
0,49,1,1,2.16,3,214.4,78,78.6,11.76,8.0,Low Value/Low Interaction Users
0,92,1,1,2.7,1,151.1,90,70.0,9.74,10.0,Low Value/Low Interaction Users
1,144,1,1,1.76,2,189.8,96,60.6,6.17,6.5,Low Value/Low Interaction Users
0,131,1,1,2.94,2,192.7,85,81.4,11.3,10.9,Low Value/Low Interaction Users
0,48,1,1,3.29,1,211.7,115,82.9,8.0,12.2,Low Value/Low Interaction Users
0,86,1,1,2.43,1,221.6,74,87.3,14.42,9.0,Low Value/Low Interaction Users
0,145,1,1,4.21,2,147.5,90,83.1,8.79,15.6,Low Value/Low Interaction Users
0,199,1,1,2.16,0,230.6,121,79.6,10.97,8.0,Low Value/Low Interaction Users
1,96,1,1,2.78,5,172.7,93,67.8,6.01,10.3,Low Value/Low Interaction Users
0,96,1,1,2.65,1,172.7,86,67.5,6.67,9.8,Low Value/Low Interaction Users
0,110,1,1,2.62,1,236.3,102,83.2,9.8,9.7,Low Value/Low Interaction Users
0,103,1,1,2.08,2,121.0,105,64.8,13.52,7.7,Low Value/Low Interaction Users
0,119,1,1,2.05,3,117.8,66,62.5,12.84,7.6,Low Value/Low Interaction Users
1,128,0,1,2.54,2,223.5,81,80.4,9.44,9.4,Low Value/Low Interaction Users
0,114,1,1,3.48,1,125.2,79,71.8,8.89,12.9,Low Value/Low Interaction Users
0,121,1,1,3.08,1,68.7,95,60.8,10.46,11.4,Low Value/Low Interaction Users
0,143,1,1,2.57,1,239.2,109,86.7,11.78,9.5,Low Value/Low Interaction Users
0,151,1,1,2.32,1,214.7,97,72.2,6.93,8.6,Low Value/Low Interaction Users
0,44,1,1,3.78,0,221.8,105,89.8,8.09,14.0,Low Value/Low Interaction Users
0,64,1,1,3.59,1,154.6,92,69.9,4.17,13.3,Low Value/Low Interaction Users
0,81,1,1,3.29,1,161.6,117,70.9,6.15,12.2,Low Value/Low Interaction Users
0,83,1,1,3.54,3,155.9,122,76.4,8.12,13.1,Low Value/Low Interaction Users
0,179,0,1,2.73,4,220.1,78,85.3,11.72,10.1,Low Value/Low Interaction Users
0,122,1,1,2.3,2,134.2,85,66.0,11.37,8.5,Low Value/Low Interaction Users
0,37,0,1,2.48,1,149.7,122,68.8,10.56,9.2,Low Value/Low Interaction Users
0,90,1,1,1.57,1,150.1,109,64.7,13.24,5.8,Low Value/Low Interaction Users
0,39,1,1,3.24,1,141.7,121,76.4,11.62,12.0,Low Value/Low Interaction Users
0,87,1,1,2.86,0,214.0,113,80.6,9.0,10.6,Low Value/Low Interaction Users
0,98,1,1,2.62,0,278.3,89,82.2,4.67,9.7,Low Value/Low Interaction Users
0,98,1,1,3.24,1,121.0,105,72.4,10.95,12.0,Low Value/Low Interaction Users
0,96,1,1,2.67,1,145.8,108,68.7,9.61,9.9,Low Value/Low Interaction Users
0,128,1,1,4.32,1,142.3,73,84.2,9.74,16.0,Low Value/Low Interaction Users
0,141,1,1,2.51,2,206.9,126,83.1,13.22,9.3,Low Value/Low Interaction Users
0,96,1,1,2.78,3,248.8,124,82.8,7.02,10.3,Low Value/Low Interaction Users
0,112,1,1,3.05,1,221.6,110,79.5,6.51,11.3,Low Value/Low Interaction Users
0,67,1,1,2.59,1,104.9,65,62.9,10.82,9.6,Low Value/Low Interaction Users
0,61,1,1,2.32,0,288.7,101,90.2,10.19,8.6,Low Value/Low Interaction Users
0,58,1,1,3.02,1,240.4,80,81.2,5.95,11.2,Low Value/Low Interaction Users
0,135,1,1,3.32,1,273.4,141,93.2,7.7,12.3,Low Value/Low Interaction Users
0,59,1,1,1.84,1,133.1,114,60.4,11.06,6.8,Low Value/Low Interaction Users
0,79,1,1,1.7,4,264.3,79,80.0,10.14,6.3,Low Value/Low Interaction Users
0,86,1,1,2.65,0,225.5,107,86.5,12.32,9.8,Low Value/Low Interaction Users
0,149,1,1,3.86,1,198.9,77,96.6,13.7,14.3,Low Value/Low Interaction Users
0,11,1,1,1.62,3,190.6,86,68.2,11.01,6.0,Low Value/Low Interaction Users
0,144,1,1,2.73,1,106.4,109,55.3,5.41,10.1,Low Value/Low Interaction Users
0,105,1,1,2.3,0,193.5,85,75.0,11.01,8.5,Low Value/Low Interaction Users
1,132,1,1,2.84,3,226.2,103,82.4,9.08,10.5,Low Value/Low Interaction Users
0,86,1,1,3.0,3,70.9,163,57.0,8.34,11.1,Low Value/Low Interaction Users
0,41,1,1,4.64,2,194.4,63,101.4,12.75,17.2,Low Value/Low Interaction Users
0,139,1,1,4.0,0,214.6,101,97.0,11.76,14.8,Low Value/Low Interaction Users
0,141,1,1,2.05,3,149.7,112,60.5,8.13,7.6,Low Value/Low Interaction Users
0,93,1,1,2.16,2,178.7,134,67.6,8.93,8.0,Low Value/Low Interaction Users
0,126,1,1,3.4,3,114.3,102,70.0,9.52,12.6,Low Value/Low Interaction Users
0,124,1,1,2.03,1,251.4,104,82.3,11.26,7.5,Low Value/Low Interaction Users
0,109,0,1,2.51,0,217.2,138,75.1,7.28,9.3,Low Value/Low Interaction Users
0,136,1,1,3.08,2,143.1,88,75.8,11.83,11.4,Low Value/Low Interaction Users
0,143,1,1,3.13,1,186.6,69,82.3,11.1,11.6,Low Value/Low Interaction Users
1,118,1,1,2.59,5,170.8,114,71.9,9.98,9.6,Low Value/Low Interaction Users
0,193,1,1,3.32,1,124.0,102,72.2,10.15,12.3,Low Value/Low Interaction Users
0,30,1,1,1.78,0,217.4,74,73.8,10.69,6.6,Low Value/Low Interaction Users
1,60,0,1,3.78,0,265.9,113,101.8,10.79,14.0,Low Value/Low Interaction Users
0,148,1,1,4.73,1,93.6,137,80.3,9.69,17.5,Low Value/Low Interaction Users
0,122,1,1,2.48,7,253.7,84,87.8,11.46,9.2,Low Value/Low Interaction Users
0,47,1,1,2.11,2,163.5,77,67.1,10.16,7.8,Low Value/Low Interaction Users
0,98,1,1,2.89,2,213.7,61,86.9,12.65,10.7,Low Value/Low Interaction Users
0,128,1,1,3.78,1,171.2,88,79.8,7.29,14.0,Low Value/Low Interaction Users
0,190,1,1,2.3,0,166.5,93,67.0,9.15,8.5,Low Value/Low Interaction Users
0,47,1,1,2.11,1,141.3,94,60.1,8.4,7.8,Low Value/Low Interaction Users
0,150,1,1,1.78,0,209.9,77,67.8,7.9,6.6,Low Value/Low Interaction Users
1,152,0,1,3.83,9,237.5,120,100.3,12.67,14.2,Low Value/Low Interaction Users
0,79,1,1,3.29,3,103.1,90,71.9,12.15,12.2,Low Value/Low Interaction Users
0,95,1,1,3.21,1,129.5,106,76.1,12.45,11.9,Low Value/Low Interaction Users
1,95,0,1,2.78,5,136.8,91,68.8,10.04,10.3,Low Value/Low Interaction Users
0,121,1,1,2.73,4,237.1,63,85.3,10.28,10.1,Low Value/Low Interaction Users
0,74,1,1,3.54,2,194.6,84,79.4,6.0,13.1,Low Value/Low Interaction Users
0,58,1,1,2.57,1,194.5,110,77.7,10.69,9.5,Low Value/Low Interaction Users
0,53,1,1,1.94,0,146.8,107,71.4,15.5,7.2,Low Value/Low Interaction Users
0,99,1,1,2.46,1,200.7,88,81.6,13.21,9.1,Low Value/Low Interaction Users
0,66,1,1,2.16,2,229.4,104,82.6,12.87,8.0,Low Value/Low Interaction Users
0,75,1,1,3.05,2,121.5,97,74.5,13.57,11.3,Low Value/Low Interaction Users
1,133,0,1,4.16,2,221.1,137,102.6,13.25,15.4,Low Value/Low Interaction Users
0,186,1,1,3.92,2,74.3,107,67.2,8.87,14.5,Low Value/Low Interaction Users
0,64,1,1,2.43,3,228.6,88,84.3,12.43,9.0,Low Value/Low Interaction Users
0,114,1,1,3.83,1,309.9,90,108.3,10.02,14.2,Low Value/Low Interaction Users
0,90,1,1,2.08,1,183.8,76,71.8,11.49,7.7,Low Value/Low Interaction Users
0,72,1,1,4.46,1,186.7,108,105.6,16.75,16.5,Low Value/Low Interaction Users
0,171,1,1,2.75,3,223.2,77,81.5,9.16,10.2,Low Value/Low Interaction Users
0,82,1,1,2.57,2,207.2,111,82.7,12.71,9.5,Low Value/Low Interaction Users
0,75,1,1,2.48,0,214.1,62,78.8,10.05,9.2,Low Value/Low Interaction Users
1,105,0,1,3.56,1,220.7,82,92.6,10.89,13.2,Low Value/Low Interaction Users
0,41,1,1,1.97,2,239.8,110,79.7,11.1,7.3,Low Value/Low Interaction Users
0,48,1,1,2.16,1,172.0,111,68.6,10.01,8.0,Low Value/Low Interaction Users
0,166,0,1,2.38,2,128.2,138,69.8,13.73,8.8,Low Value/Low Interaction Users
0,105,1,1,2.86,2,209.6,68,77.6,7.35,10.6,Low Value/Low Interaction Users
0,122,1,1,4.21,2,146.4,104,75.1,4.49,15.6,Low Value/Low Interaction Users
0,120,1,1,2.75,5,153.5,84,70.5,9.7,10.2,Low Value/Low Interaction Users
0,64,1,1,2.03,0,180.1,106,62.3,6.38,7.5,Low Value/Low Interaction Users
0,13,1,1,3.48,1,265.3,94,92.8,7.38,12.9,Low Value/Low Interaction Users
0,111,1,1,3.78,1,205.5,114,91.8,10.97,14.0,Low Value/Low Interaction Users
0,50,1,1,2.3,3,252.9,112,82.0,8.9,8.5,Low Value/Low Interaction Users
0,153,1,1,4.16,0,235.6,74,101.6,11.4,15.4,Low Value/Low Interaction Users
0,54,1,1,2.48,3,206.9,143,71.8,6.39,9.2,Low Value/Low Interaction Users
0,87,1,1,2.3,3,263.8,65,77.0,5.17,8.5,Low Value/Low Interaction Users
0,96,1,1,2.84,1,183.4,126,76.4,9.78,10.5,Low Value/Low Interaction Users
0,65,1,1,3.24,1,282.3,70,93.4,7.6,12.0,Low Value/Low Interaction Users
0,112,1,1,2.48,2,181.8,110,75.8,11.41,9.2,Low Value/Low Interaction Users
0,101,1,1,4.19,0,200.1,108,92.9,9.45,15.5,Low Value/Low Interaction Users
0,32,1,1,4.4,1,266.7,109,110.0,11.62,16.3,Low Value/Low Interaction Users
0,3,1,1,3.21,2,118.1,117,71.1,11.08,11.9,Low Value/Low Interaction Users
0,189,1,1,3.08,3,256.7,98,87.8,7.53,11.4,Low Value/Low Interaction Users
0,13,1,1,3.27,3,315.6,105,104.7,10.45,12.1,Low Value/Low Interaction Users
0,92,1,1,2.16,3,155.4,110,64.6,9.43,8.0,Low Value/Low Interaction Users
0,163,1,1,2.81,1,160.0,104,72.1,9.47,10.4,Low Value/Low Interaction Users
0,84,1,1,2.05,3,165.3,97,68.5,11.18,7.6,Low Value/Low Interaction Users
0,83,0,1,2.86,2,94.7,111,58.6,7.72,10.6,Low Value/Low Interaction Users
0,168,1,1,1.97,2,175.9,70,67.7,10.59,7.3,Low Value/Low Interaction Users
0,57,0,1,3.08,2,234.5,130,87.8,9.76,11.4,Low Value/Low Interaction Users
0,100,1,1,2.0,0,177.1,88,65.0,8.19,7.4,Low Value/Low Interaction Users
1,103,1,1,2.94,6,87.2,92,59.4,8.47,10.9,Low Value/Low Interaction Users
0,129,1,1,4.43,1,192.8,103,92.3,8.85,16.4,Low Value/Low Interaction Users
0,86,1,1,3.43,2,261.2,122,97.3,10.71,12.7,Low Value/Low Interaction Users
0,151,1,1,3.62,0,196.5,98,85.2,8.79,13.4,Low Value/Low Interaction Users
0,85,1,1,2.57,2,229.6,123,76.7,6.62,9.5,Low Value/Low Interaction Users
0,93,0,1,3.27,1,187.5,110,79.7,8.49,12.1,Low Value/Low Interaction Users
0,67,1,1,2.54,1,230.6,40,81.4,9.46,9.4,Low Value/Low Interaction Users
0,116,1,1,3.08,5,193.4,112,84.8,12.03,11.4,Low Value/Low Interaction Users
0,119,1,1,1.78,1,161.3,97,66.8,12.52,6.6,Low Value/Low Interaction Users
0,146,1,1,2.21,3,154.0,80,64.1,9.28,8.2,Low Value/Low Interaction Users
0,101,1,1,2.73,0,121.1,116,64.3,9.32,10.1,Low Value/Low Interaction Users
0,22,1,1,3.43,3,182.1,94,79.3,8.23,12.7,Low Value/Low Interaction Users
0,108,1,1,2.65,2,276.6,99,92.5,11.01,9.8,Low Value/Low Interaction Users
0,136,1,1,2.57,2,179.4,88,71.7,9.06,9.5,Low Value/Low Interaction Users
0,33,1,1,4.05,0,186.8,124,94.5,13.05,15.0,Low Value/Low Interaction Users
0,120,1,1,3.08,0,153.5,83,75.8,10.96,11.4,Low Value/Low Interaction Users
0,148,1,1,4.1,2,244.9,150,93.0,5.9,15.2,Low Value/Low Interaction Users
1,149,0,1,2.38,5,126.9,97,59.8,8.35,8.8,Low Value/Low Interaction Users
0,61,1,1,2.84,0,254.4,133,85.4,8.09,10.5,Low Value/Low Interaction Users
0,115,1,1,3.67,6,170.5,107,84.7,10.86,13.6,Low Value/Low Interaction Users
0,35,1,1,2.54,1,241.7,87,79.4,7.1,9.4,Low Value/Low Interaction Users
0,107,1,1,3.02,1,281.1,83,90.2,7.19,11.2,Low Value/Low Interaction Users
0,92,0,1,2.03,0,281.1,88,85.3,9.9,7.5,Low Value/Low Interaction Users
1,69,0,1,2.21,1,271.5,98,90.1,12.67,8.2,Low Value/Low Interaction Users
0,113,1,1,2.27,1,180.4,89,64.7,6.47,8.4,Low Value/Low Interaction Users
0,135,1,1,3.94,2,197.1,113,95.4,12.97,14.6,Low Value/Low Interaction Users
0,100,1,1,4.29,1,153.7,115,80.9,6.89,15.9,Low Value/Low Interaction Users
0,96,1,1,3.05,1,261.3,96,94.5,11.05,11.3,Low Value/Low Interaction Users
0,56,1,1,3.27,1,127.1,89,69.7,8.61,12.1,Low Value/Low Interaction Users
0,61,0,1,3.05,0,143.5,76,76.5,12.13,11.3,Low Value/Low Interaction Users
0,171,1,1,1.57,1,186.9,94,68.7,12.0,5.8,Low Value/Low Interaction Users
0,75,1,1,3.35,1,130.9,115,73.5,10.17,12.4,Low Value/Low Interaction Users
0,92,1,1,3.43,2,184.0,99,72.3,3.82,12.7,Low Value/Low Interaction Users
0,77,1,1,2.73,1,149.4,74,63.3,6.2,10.1,Low Value/Low Interaction Users
0,81,1,1,2.62,0,210.4,100,81.2,11.28,9.7,Low Value/Low Interaction Users
0,64,0,1,2.19,0,127.2,93,57.9,8.15,8.1,Low Value/Low Interaction Users
0,107,1,1,3.21,1,201.8,79,93.1,15.25,11.9,Low Value/Low Interaction Users
0,88,1,1,4.35,1,219.5,78,100.5,11.11,16.1,Low Value/Low Interaction Users
0,146,1,1,3.94,1,176.6,88,83.4,8.14,14.6,Low Value/Low Interaction Users
0,144,1,1,2.7,1,283.9,98,92.0,9.6,10.0,Low Value/Low Interaction Users
0,70,1,1,2.78,1,125.9,101,66.8,9.82,10.3,Low Value/Low Interaction Users
0,120,1,1,2.62,2,212.7,73,85.2,12.88,9.7,Low Value/Low Interaction Users
0,129,1,1,3.16,1,205.0,94,80.6,8.27,11.7,Low Value/Low Interaction Users
0,75,1,1,3.54,3,163.6,132,76.4,7.34,13.1,Low Value/Low Interaction Users
0,119,1,1,3.0,0,220.1,128,91.0,13.41,11.1,Low Value/Low Interaction Users
0,149,1,1,2.94,1,206.7,79,79.4,8.73,10.9,Low Value/Low Interaction Users
0,132,1,1,2.46,1,154.6,128,72.6,12.28,9.1,Low Value/Low Interaction Users
0,122,1,1,3.19,4,270.8,96,96.9,11.02,11.8,Low Value/Low Interaction Users
0,66,1,1,1.46,2,254.9,108,78.6,12.16,5.4,Low Value/Low Interaction Users
0,103,1,1,2.4,0,107.7,124,59.0,9.45,8.9,Low Value/Low Interaction Users
1,109,1,1,3.32,1,166.9,85,81.2,11.06,12.3,Low Value/Low Interaction Users
0,108,1,1,4.19,0,215.9,106,95.9,10.03,15.5,Low Value/Low Interaction Users
0,89,1,1,2.35,1,209.9,113,80.5,12.49,8.7,Low Value/Low Interaction Users
0,118,1,1,4.56,1,118.1,83,75.6,5.48,16.9,Low Value/Low Interaction Users
0,42,1,1,2.19,0,163.8,80,64.9,8.89,8.1,Low Value/Low Interaction Users
0,50,1,1,2.86,1,214.3,129,90.6,14.49,10.6,Low Value/Low Interaction Users
0,81,1,1,3.08,0,130.1,117,69.8,9.8,11.4,Low Value/Low Interaction Users
0,205,1,1,2.11,2,175.8,139,65.1,7.75,7.8,Low Value/Low Interaction Users
0,91,1,1,2.48,0,162.3,107,72.8,11.7,9.2,Low Value/Low Interaction Users
1,81,1,1,2.48,4,167.9,147,69.8,9.54,9.2,Low Value/Low Interaction Users
0,150,1,1,2.97,1,174.4,75,74.7,8.5,11.0,Low Value/Low Interaction Users
0,132,1,1,2.32,2,175.7,93,69.2,9.36,8.6,Low Value/Low Interaction Users
0,114,1,1,2.78,0,154.4,109,73.8,11.07,10.3,Low Value/Low Interaction Users
0,77,1,1,1.92,2,209.7,73,71.2,9.18,7.1,Low Value/Low Interaction Users
0,91,1,1,3.32,3,232.4,97,89.2,9.3,12.3,Low Value/Low Interaction Users
0,142,1,1,2.92,1,154.0,75,70.2,8.29,10.8,Low Value/Low Interaction Users
0,9,1,1,3.59,1,193.8,130,86.9,10.13,13.3,Low Value/Low Interaction Users
1,48,1,1,4.24,2,152.0,63,90.4,12.94,15.7,Low Value/Low Interaction Users
1,122,1,1,3.65,1,174.9,103,87.5,12.41,13.5,Low Value/Low Interaction Users
0,21,1,1,2.57,6,135.9,90,72.7,13.55,9.5,Low Value/Low Interaction Users
1,93,1,1,3.19,4,134.2,105,68.9,8.13,11.8,Low Value/Low Interaction Users
0,84,1,1,3.51,1,159.1,106,75.1,7.49,13.0,Low Value/Low Interaction Users
0,159,1,1,3.19,1,113.9,102,63.9,7.27,11.8,Low Value/Low Interaction Users
1,110,0,1,2.24,1,267.9,103,90.4,13.17,8.3,Low Value/Low Interaction Users
0,50,1,1,2.13,2,192.6,97,66.3,6.76,7.9,Low Value/Low Interaction Users
0,147,1,1,2.81,3,251.5,107,91.1,11.71,10.4,Low Value/Low Interaction Users
0,52,1,1,2.21,0,169.3,88,70.1,11.3,8.2,Low Value/Low Interaction Users
0,64,1,1,3.32,1,201.3,101,80.2,7.19,12.3,Low Value/Low Interaction Users
0,168,1,1,3.08,2,97.4,57,64.8,10.18,11.4,Low Value/Low Interaction Users
0,115,1,1,3.83,2,145.0,72,80.3,9.73,14.2,Low Value/Low Interaction Users
0,148,1,1,3.32,1,252.9,129,101.2,14.22,12.3,Low Value/Low Interaction Users
0,67,1,1,2.7,2,95.0,94,68.0,14.56,10.0,Low Value/Low Interaction Users
1,99,1,1,2.51,2,216.0,125,82.1,11.62,9.3,Low Value/Low Interaction Users
0,119,1,1,3.24,3,142.6,77,74.4,10.41,12.0,Low Value/Low Interaction Users
0,161,1,1,4.35,0,240.4,112,102.5,10.09,16.1,Low Value/Low Interaction Users
0,91,0,1,2.67,0,93.5,112,58.7,9.17,9.9,Low Value/Low Interaction Users
0,139,1,1,3.48,2,96.2,112,66.8,8.95,12.9,Low Value/Low Interaction Users
0,86,1,1,3.59,1,123.0,158,68.9,6.7,13.3,Low Value/Low Interaction Users
0,132,1,1,2.78,1,174.5,101,78.8,12.28,10.3,Low Value/Low Interaction Users
0,190,1,1,2.67,1,116.7,71,59.7,7.3,9.9,Low Value/Low Interaction Users
0,185,0,1,3.48,2,154.1,114,71.8,5.94,12.9,Low Value/Low Interaction Users
0,68,1,1,2.67,0,239.5,82,85.7,10.19,9.9,Low Value/Low Interaction Users
0,117,1,1,3.19,0,216.0,140,87.9,11.21,11.8,Low Value/Low Interaction Users
0,164,1,1,3.86,1,219.1,88,89.6,7.58,14.3,Low Value/Low Interaction Users
0,64,1,1,2.03,1,291.1,150,89.3,11.34,7.5,Low Value/Low Interaction Users
0,105,1,1,3.48,0,101.9,79,71.8,11.16,12.9,Low Value/Low Interaction Users
0,57,1,1,3.51,1,279.9,121,102.1,11.16,13.0,Low Value/Low Interaction Users
0,116,1,1,2.24,1,200.4,104,80.4,13.64,8.3,Low Value/Low Interaction Users
1,135,1,1,3.48,2,201.4,100,90.8,12.33,12.9,Low Value/Low Interaction Users
0,98,1,1,3.46,3,179.9,97,81.6,9.46,12.8,Low Value/Low Interaction Users
0,108,1,1,2.94,1,165.1,85,80.4,13.35,10.9,Low Value/Low Interaction Users
0,11,1,1,2.7,2,131.5,98,69.0,11.51,10.0,Low Value/Low Interaction Users
0,159,1,1,4.56,0,184.1,78,93.6,9.73,16.9,Low Value/Low Interaction Users
0,114,0,1,3.32,2,174.5,104,82.2,11.21,12.3,Low Value/Low Interaction Users
0,100,1,1,3.51,1,246.6,94,89.1,7.07,13.0,Low Value/Low Interaction Users
0,83,1,1,3.19,1,78.5,109,63.9,10.53,11.8,Low Value/Low Interaction Users
0,144,1,1,3.29,2,251.6,87,92.9,9.88,12.2,Low Value/Low Interaction Users
1,106,0,1,3.89,1,270.3,111,103.9,10.76,14.4,Low Value/Low Interaction Users
0,19,1,1,3.05,1,156.6,97,76.5,11.21,11.3,Low Value/Low Interaction Users
0,9,1,1,2.73,1,214.1,108,78.3,8.46,10.1,Low Value/Low Interaction Users
0,105,1,1,2.7,0,179.4,113,81.0,13.77,10.0,Low Value/Low Interaction Users
0,95,1,1,2.86,0,262.2,123,87.6,8.26,10.6,Low Value/Low Interaction Users
0,119,1,1,3.05,0,217.2,94,79.5,6.94,11.3,Low Value/Low Interaction Users
0,76,1,1,2.19,1,214.6,110,75.9,10.26,8.1,Low Value/Low Interaction Users
0,47,1,1,2.86,0,112.2,70,61.6,7.74,10.6,Low Value/Low Interaction Users
0,157,1,1,1.92,1,194.3,107,73.2,12.16,7.1,Low Value/Low Interaction Users
0,66,1,1,3.24,2,187.8,117,75.4,6.49,12.0,Low Value/Low Interaction Users
0,50,0,1,2.16,0,307.1,94,98.6,14.47,8.0,Low Value/Low Interaction Users
